index	RPKM	genome
K2_TE1690314	0.168092	K
K2_TE1690313	0.168092	K
K2_TE1690311	0.168092	K
K2_TE1690312	0.168092	K
K2_TE1690310	0.168092	K
K2_TE1690309	0.168092	K
K2_TE1690308	0.168092	K
K2_TE1690307	0.168092	K
K2_TE1690306	0.168092	K
K2_TE1690305	0.168092	K
K2_TE1690304	0.168092	K
K2_TE1690303	0.168092	K
K2_TE1690301	0.168092	K
K2_TE1690302	0.168092	K
K2_TE1690300	0.168092	K
K2_TE1690299	0.168092	K
K2_TE1690298	0.168092	K
K2_TE1690297	0.168092	K
K2_TE1690296	0.168092	K
K2_TE1690295	51.0999	K
K2_TE1690269	29.5001	K
K2_TE1688038	0.504275	K
K2_TE1687965	0.336183	K
K2_TE1687959	0.168092	K
K2_TE1687958	0.168092	K
K2_TE1687956	0.168092	K
K2_TE1687957	0.168092	K
K2_TE1687955	0.168092	K
K2_TE1687953	0.168092	K
K2_TE1687954	0.168092	K
K2_TE1687952	0.168092	K
K2_TE0742036	0.168092	K
K2_TE0742071	0.168092	K
K2_TE0742638	1.93305	K
K2_TE0742639	2.85756	K
K2_TE0742640	1.76496	K
K2_TE0742641	1.93305	K
K2_TE0742642	2.18519	K
K2_TE0742643	4.70657	K
K2_TE0742644	6.72367	K
K2_TE0742645	5.54702	K
K2_TE0742646	4.53847	K
K2_TE0742647	6.72367	K
K2_TE0742685	0.252137	K
K2_TE0742696	0.252137	K
K2_TE0742698	0.588321	K
K2_TE0742706	1.00855	K
K2_TE0742707	1.00855	K
K2_TE0742713	4.37038	K
K2_TE0742714	0.588321	K
K2_TE0743314	9.91741	K
K2_TE0743315	12.1026	K
K2_TE0743659	35.2152	K
K2_TE0743660	60.4289	K
K2_TE0743661	22.5243	K
K2_TE0743662	27.483	K
K2_TE0743663	35.2992	K
K2_TE0743664	25.0457	K
K2_TE0743665	8.15244	K
K2_TE0743666	8.0684	K
K2_TE0743667	7.73222	K
K2_TE0743668	13.6995	K
K2_TE0743669	16.8092	K
K2_TE0743670	13.1111	K
K2_TE0743671	0.588321	K
K2_TE0743672	0.168092	K
K2_TE0744829	24.8776	K
K2_TE0744831	0.756412	K
K2_TE0744832	0.252137	K
K2_TE0744833	0.168092	K
K2_TE0744834	0.168092	K
K2_TE0744838	1.51282	K
K2_TE0744852	0.336183	K
K2_TE0744866	0.252137	K
K2_TE0746815	0.168092	K
K2_TE0746816	0.168092	K
K2_TE0746817	0.168092	K
K2_TE0746818	2.68947	K
K2_TE0746819	2.68947	K
K2_TE0753076	1.0926	K
K2_TE0753077	0.924504	K
K2_TE0753087	3.44588	K
K2_TE0753088	0.840458	K
K2_TE0753089	0.840458	K
K2_TE0753090	1.0926	K
K2_TE0753091	0.924504	K
K2_TE0753098	0.168092	K
K2_TE0753102	0.168092	K
K2_TE0754284	0.168092	K
K2_TE0754310	33.03	K
K2_TE0754311	43.0315	K
K2_TE0754312	42.9474	K
K2_TE0754313	38.6611	K
K2_TE0754314	6.38748	K
