index	RPKM	type	genome
K2_TE0384143	3.69802	specific	K
K2_TE0384144	4.11825	specific	K
K2_TE0384145	4.11825	specific	K
K2_TE0384146	4.11825	specific	K
K2_TE0384147	12.9431	specific	K
K2_TE0384148	3.61397	specific	K
K2_TE0384151	5.04275	specific	K
K2_TE0384152	4.20229	specific	K
K2_TE0384153	5.88321	specific	K
K2_TE0385338	12.775	specific	K
K2_TE0385339	12.3547	specific	K
K2_TE0385815	0.840458	specific	K
K2_TE0385816	1.42878	specific	K
K2_TE0385817	2.68947	specific	K
K2_TE0385818	0.504275	specific	K
K2_TE0385819	1.93305	specific	K
K2_TE0385820	0.336183	specific	K
K2_TE0385821	0.924504	specific	K
K2_TE0385842	11.8505	specific	K
K2_TE0385843	10.2536	specific	K
K2_TE0385844	10.1695	specific	K
K2_TE0385845	10.1695	specific	K
K2_TE0385852	0.168092	specific	K
K2_TE0385857	0.168092	specific	K
K2_TE0385861	0.252137	specific	K
K2_TE0385864	0.672367	specific	K
K2_TE0385865	0.252137	specific	K
K2_TE0385866	0.252137	specific	K
K2_TE0385867	0.252137	specific	K
K2_TE0385868	0.252137	specific	K
K2_TE0385869	0.252137	specific	K
K2_TE0385870	0.252137	specific	K
K2_TE0385874	0.252137	specific	K
K2_TE0385875	0.252137	specific	K
K2_TE0385876	0.252137	specific	K
K2_TE0385877	0.252137	specific	K
K2_TE0385878	0.252137	specific	K
K2_TE0385879	0.252137	specific	K
K2_TE0385880	0.252137	specific	K
K2_TE0385881	0.252137	specific	K
K2_TE0385882	2.60542	specific	K
K2_TE0297327	0.756412	specific	K
K2_TE0297326	0.588321	specific	K
K2_TE0297322	0.504275	specific	K
K2_TE0297321	0.168092	specific	K
K2_TE0297320	0.336183	specific	K
K2_TE0047625	0.168092	specific	K
K2_TE0047685	7.39603	specific	K
K2_TE0047686	7.22794	specific	K
K2_TE0047687	3.52992	specific	K
K2_TE0047688	3.52992	specific	K
K2_TE0047689	3.86611	specific	K
K2_TE0047690	3.61397	specific	K
K2_TE0047691	3.61397	specific	K
K2_TE1503723	3.69802	specific	K
K2_TE1503722	3.86611	specific	K
K2_TE1503721	4.37038	specific	K
K2_TE1503720	4.0342	specific	K
K2_TE1503719	4.87466	specific	K
K2_TE1503718	4.11825	specific	K
K2_TE1503717	3.61397	specific	K
K2_TE1503716	3.95015	specific	K
K2_TE1503715	3.69802	specific	K
K2_TE1503714	2.26924	specific	K
K2_TE1503713	2.26924	specific	K
K2_TE1503712	0.168092	specific	K
K2_TE1503710	0.168092	specific	K
K2_TE1503682	0.420229	specific	K
K2_TE1503681	0.336183	specific	K
K2_TE1499346	5.79916	specific	K
K2_TE1499345	10.0015	specific	K
K2_TE1499344	12.775	specific	K
K2_TE1495723	8.48863	specific	K
K2_TE1495722	6.55557	specific	K
K2_TE1495721	5.96725	specific	K
K2_TE1495720	3.1097	specific	K
K2_TE1088608	0.168092	specific	K
K2_TE1550322	0.168092	specific	K
K2_TE1737396	0.672367	specific	K
K2_TE1737397	0.420229	specific	K
K2_TE1737398	0.420229	specific	K
K2_TE1737399	0.420229	specific	K
K2_TE0991704	0.672367	specific	K
K2_TE0991705	1.17664	specific	K
K2_TE1355512	0.168092	specific	K
K2_TE1355513	0.168092	specific	K
K2_TE1355514	0.168092	specific	K
K2_TE1355515	0.168092	specific	K
K2_TE1355516	0.168092	specific	K
K2_TE1355517	0.168092	specific	K
K2_TE1355518	0.168092	specific	K
K2_TE1355519	0.168092	specific	K
K2_TE1355520	0.168092	specific	K
K2_TE1355521	0.168092	specific	K
K2_TE1355522	0.168092	specific	K
K2_TE1355523	0.168092	specific	K
K2_TE1355524	0.168092	specific	K
K2_TE1355525	0.168092	specific	K
K2_TE1355526	0.168092	specific	K
K2_TE1355527	0.168092	specific	K
K2_TE1355528	0.168092	specific	K
K2_TE1355529	0.168092	specific	K
K2_TE1355530	0.168092	specific	K
K2_TE1355531	0.168092	specific	K
K2_TE1355532	0.168092	specific	K
K2_TE1355533	0.168092	specific	K
K2_TE1355534	0.168092	specific	K
K2_TE1355535	0.168092	specific	K
K2_TE1355536	0.168092	specific	K
K2_TE1355537	0.168092	specific	K
K2_TE1355538	0.168092	specific	K
K2_TE1356787	0.252137	specific	K
K2_TE1356831	10.5057	specific	K
K2_TE1721588	2.77351	specific	K
K2_TE1721587	2.85756	specific	K
K2_TE1721586	7.31199	specific	K
K2_TE1717776	3.69802	specific	K
K2_TE1716828	3.69802	specific	K
K2_TE1715427	0.336183	specific	K
K2_TE1715426	8.57267	specific	K
K2_TE1715425	6.55557	specific	K
K2_TE1715076	7.56412	specific	K
K2_TE1714271	20.5912	specific	K
K2_TE1714270	21.0115	specific	K
K2_TE1714269	20.171	specific	K
K2_TE1713197	7.39603	specific	K
K2_TE1713196	7.39603	specific	K
K2_TE1713195	6.21939	specific	K
K2_TE1713194	6.21939	specific	K
K2_TE1713193	6.21939	specific	K
K2_TE1713192	6.21939	specific	K
K2_TE1713191	6.47153	specific	K
K2_TE1713190	5.96725	specific	K
K2_TE1711342	7.98435	specific	K
K2_TE1711341	5.46298	specific	K
K2_TE1711337	0.672367	specific	K
K2_TE1710348	42.275	specific	K
K2_TE1710343	8.15244	specific	K
K2_TE1710342	0.504275	specific	K
K2_TE1710341	1.84901	specific	K
K2_TE1710340	0.756412	specific	K
K2_TE1710339	1.17664	specific	K
K2_TE1710338	0.924504	specific	K
K2_TE1710337	0.420229	specific	K
K2_TE1710336	0.168092	specific	K
K2_TE1710335	0.168092	specific	K
K2_TE1710334	0.252137	specific	K
K2_TE1710333	0.168092	specific	K
K2_TE1710332	0.168092	specific	K
K2_TE1710331	0.336183	specific	K
K2_TE1710330	0.588321	specific	K
K2_TE1710329	0.924504	specific	K
K2_TE1710328	0.756412	specific	K
K2_TE1710327	0.672367	specific	K
K2_TE1710326	0.420229	specific	K
K2_TE1710325	0.504275	specific	K
K2_TE1710324	0.252137	specific	K
K2_TE1710321	0.840458	specific	K
K2_TE1710320	0.336183	specific	K
K2_TE1710248	4.79061	specific	K
K2_TE1710247	4.53847	specific	K
K2_TE1710246	35.3833	specific	K
K2_TE1710245	8.23649	specific	K
K2_TE1710244	7.64817	specific	K
K2_TE1710243	9.07695	specific	K
K2_TE1710242	5.79916	specific	K
K2_TE1709737	0.504275	specific	K
K2_TE1709719	0.252137	specific	K
K2_TE1709278	10.0015	specific	K
K2_TE1709277	10.0015	specific	K
K2_TE1709276	10.0015	specific	K
K2_TE1709275	10.0015	specific	K
K2_TE1709274	10.0015	specific	K
K2_TE1709273	10.926	specific	K
K2_TE1705280	0.168092	specific	K
K2_TE1705279	0.168092	specific	K
K2_TE0687639	0.168092	specific	K
K2_TE0687600	2.0171	specific	K
K2_TE0687599	2.35328	specific	K
K2_TE0687598	4.62252	specific	K
K2_TE0687597	11.3462	specific	K
K2_TE0687596	8.40458	specific	K
K2_TE0687570	6.38748	specific	K
K2_TE0687569	0.336183	specific	K
K2_TE0687568	3.52992	specific	K
K2_TE0687567	3.78206	specific	K
K2_TE0687566	1.17664	specific	K
K2_TE0687565	0.672367	specific	K
K2_TE0943041	4.45443	specific	K
K2_TE0943040	8.32054	specific	K
K2_TE0943039	5.12679	specific	K
K2_TE0943035	3.1097	specific	K
K2_TE0943033	3.44588	specific	K
K2_TE0943034	3.19374	specific	K
K2_TE0943032	3.69802	specific	K
K2_TE0943031	5.29489	specific	K
K2_TE0943028	6.72367	specific	K
K2_TE0943030	5.79916	specific	K
K2_TE0943029	5.54702	specific	K
K2_TE0943027	12.3547	specific	K
K2_TE0943026	0.168092	specific	K
K2_TE0943025	0.168092	specific	K
K2_TE0943024	0.168092	specific	K
K2_TE0943023	0.168092	specific	K
K2_TE0943021	0.168092	specific	K
K2_TE0943022	0.168092	specific	K
K2_TE0943020	0.168092	specific	K
K2_TE0943019	0.168092	specific	K
K2_TE0943003	2.10115	specific	K
K2_TE0943004	2.10115	specific	K
K2_TE0943002	2.10115	specific	K
K2_TE0943000	2.10115	specific	K
K2_TE0943001	2.10115	specific	K
K2_TE0942999	2.68947	specific	K
K2_TE0942998	2.52137	specific	K
K2_TE0942997	2.52137	specific	K
K2_TE0942996	2.52137	specific	K
K2_TE0942995	3.02565	specific	K
K2_TE0942994	3.02565	specific	K
K2_TE0942993	8.23649	specific	K
K2_TE0942991	0.924504	specific	K
K2_TE0298460	0.168092	specific	K
K2_TE0298459	0.168092	specific	K
K2_TE0298458	0.168092	specific	K
K2_TE0298457	0.168092	specific	K
K2_TE0298455	0.168092	specific	K
K2_TE0298456	0.168092	specific	K
K2_TE0298454	0.168092	specific	K
K2_TE0298453	0.168092	specific	K
K2_TE0298452	0.168092	specific	K
K2_TE0298450	0.168092	specific	K
K2_TE0298451	0.168092	specific	K
K2_TE0298448	0.168092	specific	K
K2_TE0298447	0.168092	specific	K
K2_TE0298449	0.168092	specific	K
K2_TE0298446	0.168092	specific	K
K2_TE0298445	0.168092	specific	K
K2_TE0298444	0.168092	specific	K
K2_TE0298442	0.168092	specific	K
K2_TE0298443	0.168092	specific	K
K2_TE0298441	0.168092	specific	K
K2_TE0298440	0.168092	specific	K
K2_TE0298438	0.168092	specific	K
K2_TE0298435	0.168092	specific	K
K2_TE0298437	0.168092	specific	K
K2_TE0298436	0.168092	specific	K
K2_TE0298432	0.168092	specific	K
K2_TE0298434	0.168092	specific	K
K2_TE0298433	0.168092	specific	K
K2_TE0298431	0.168092	specific	K
K2_TE0298430	0.168092	specific	K
K2_TE0298428	0.168092	specific	K
K2_TE0298429	0.168092	specific	K
K2_TE0298427	0.168092	specific	K
K2_TE0298426	0.168092	specific	K
K2_TE0298425	0.168092	specific	K
K2_TE0298424	0.168092	specific	K
K2_TE0298423	0.168092	specific	K
K2_TE0298422	0.168092	specific	K
K2_TE0298421	0.168092	specific	K
K2_TE0298420	0.168092	specific	K
K2_TE0298419	0.168092	specific	K
K2_TE0298418	0.168092	specific	K
K2_TE0298417	0.168092	specific	K
K2_TE0298416	0.168092	specific	K
K2_TE0298415	0.168092	specific	K
K2_TE0298414	0.168092	specific	K
K2_TE0298413	0.168092	specific	K
K2_TE0298412	0.168092	specific	K
K2_TE0298411	0.168092	specific	K
K2_TE0298410	0.168092	specific	K
K2_TE0298409	0.168092	specific	K
K2_TE0298408	0.168092	specific	K
K2_TE0298407	0.168092	specific	K
K2_TE0298406	0.168092	specific	K
K2_TE0298405	0.168092	specific	K
K2_TE0298404	0.168092	specific	K
K2_TE0298403	0.168092	specific	K
K2_TE0298402	0.168092	specific	K
K2_TE0034319	7.64817	specific	K
K2_TE0034318	6.13534	specific	K
K2_TE0034317	6.13534	specific	K
K2_TE0034316	5.96725	specific	K
K2_TE0034315	5.88321	specific	K
K2_TE0034314	5.88321	specific	K
K2_TE0034313	5.88321	specific	K
K2_TE0034312	12.1866	specific	K
K2_TE0032276	0.252137	specific	K
K2_TE0032274	0.588321	specific	K
K2_TE0032273	1.34473	specific	K
K2_TE0032271	0.168092	specific	K
K2_TE0032270	0.168092	specific	K
K2_TE0032269	0.168092	specific	K
K2_TE0032225	0.168092	specific	K
K2_TE2169799	0.168092	specific	K
K2_TE2169800	0.504275	specific	K
K2_TE2169801	0.252137	specific	K
K2_TE2169802	0.252137	specific	K
K2_TE2169803	0.336183	specific	K
K2_TE2169804	2.10115	specific	K
K2_TE2169812	0.252137	specific	K
K2_TE2169813	0.336183	specific	K
K2_TE2169827	0.336183	specific	K
K2_TE2169828	0.420229	specific	K
K2_TE2169829	0.420229	specific	K
K2_TE2169830	0.420229	specific	K
K2_TE2169831	0.588321	specific	K
K2_TE2169832	3.27779	specific	K
K2_TE2169833	0.252137	specific	K
K2_TE2169834	2.43733	specific	K
K2_TE2169839	7.56412	specific	K
K2_TE2169840	8.48863	specific	K
K2_TE2169868	1.00855	specific	K
K2_TE2169873	6.13534	specific	K
K2_TE2169874	6.63962	specific	K
K2_TE2169880	16.9773	specific	K
K2_TE2169881	29.8363	specific	K
K2_TE2169882	29.5001	specific	K
K2_TE2169883	29.416	specific	K
K2_TE2169884	27.567	specific	K
K2_TE1785327	0.336183	specific	K
K2_TE1785382	0.420229	specific	K
K2_TE1785383	0.504275	specific	K
K2_TE1785384	0.588321	specific	K
K2_TE1785385	0.252137	specific	K
K2_TE1785386	0.252137	specific	K
K2_TE1785387	0.252137	specific	K
K2_TE1785388	0.252137	specific	K
K2_TE1785389	0.252137	specific	K
K2_TE1785390	0.252137	specific	K
K2_TE1785391	0.252137	specific	K
K2_TE1785393	0.252137	specific	K
K2_TE1785394	0.252137	specific	K
K2_TE1785395	0.252137	specific	K
K2_TE1785396	0.252137	specific	K
K2_TE1785397	0.252137	specific	K
K2_TE1785398	0.252137	specific	K
K2_TE1785399	0.252137	specific	K
K2_TE1785400	0.252137	specific	K
K2_TE1785402	0.252137	specific	K
K2_TE1785403	0.252137	specific	K
K2_TE1785404	0.252137	specific	K
K2_TE1785405	0.252137	specific	K
K2_TE1785406	0.252137	specific	K
K2_TE1785407	0.252137	specific	K
K2_TE1786272	0.504275	specific	K
K2_TE1786303	0.168092	specific	K
K2_TE1786309	0.168092	specific	K
K2_TE1786310	0.168092	specific	K
K2_TE0053694	0.168092	specific	K
K2_TE1514101	0.168092	specific	K
K2_TE1169820	0.588321	specific	K
K2_TE1655370	0.252137	specific	K
K2_TE1731589	0.168092	specific	K
K2_TE0437408	0.168092	specific	K
K2_TE2022878	20.255	specific	K
