index	FPKM	status	genome
Garb_01G005160.1	0.0	A	A
Garb_01G005170.1	0.000000	A	A
Garb_01G005180.1	0.0	A	A
Garb_01G005190.1	0.0	A	A
Garb_01G005200.1	0.220466	A	A
Garb_01G005210.1	0.0	A	A
Garb_01G005220.1	6.214231	A	A
Garb_01G005230.1	4.307903	A	A
Garb_01G005240.1	14.712193	A	A
Garb_01G005250.1	0.0	A	A
Garb_01G005260.1	142.209625	A	A
Garb_01G005270.1	0.546801	A	A
Garb_01G005280.1	1.876387	A	A
Garb_01G005290.1	28.904451	A	A
Garb_01G005300.1	4.174552	A	A
Garb_01G005310.1	3.657477	A	A
Garb_01G005320.1	0.418776	A	A
Garb_01G005330.1	0.326174	A	A
Garb_01G005340.1	38.554371	A	A
Garb_01G005350.1	0.000000	A	A
Garb_01G005360.1	1044.095947	A	A
Garb_01G005370.1	0.0	A	A
Garb_01G005380.1	11.898915	A	A
Garb_01G005390.1	2.698601	A	A
Garb_01G005400.1	0.0	A	A
Garb_01G005410.1	0.057114	A	A
Garb_01G005420.1	195.852112	A	A
Garb_01G005430.1	0.000000	A	A
Garb_01G005440.1	0.0	A	A
Garb_01G005450.1	0.0	A	A
Garb_01G005460.1	0.112780	A	A
Garb_01G005470.1	22.487823	A	A
Garb_01G005480.1	5.064015	A	A
Garb_01G005490.1	15.579313	A	A
Garb_01G005500.1	492.595642	A	A
Garb_01G005510.1	34.081459	A	A
Garb_01G005520.1	0.000000	A	A
Garb_01G005530.1	16.347349	A	A
Garb_01G005540.1	14.141334	A	A
Garb_01G005550.1	25.602943	A	A
Garb_01G005560.1	2.919559	A	A
Garb_01G005570.1	0.000000	A	A
Garb_01G005580.1	0.249717	A	A
Garb_01G005590.1	0.000000	A	A
Garb_01G005600.1	102.976631	A	A
Garb_01G005610.1	17.859962	A	A
Garb_01G005620.1	15.834792	A	A
Garb_01G005630.1	0.040663	A	A
Garb_01G005640.1	8.287283	A	A
Garb_01G005650.1	5.814177	A	A
Garb_01G005660.1	11.696268	A	A
Garb_01G005670.1	3.945251	A	A
Garb_01G005680.1	11.522577	A	A
