line	year	genome
910	5.01429	D
911	1.82143	D
912	4.84286	D
913	1.32857	D
914	3.47143	D
915	7.58571	D
916	7.03571	D
917	1.88571	D
918	0.75	D
919	2.88571	D
920	1.14286	D
921	1.25	D
922	3.32143	D
923	1.62857	D
924	3.99286	D
925	2.03571	D
926	2.47143	D
927	1.56429	D
928	1.27143	D
929	3.28571	D
930	0.507143	D
931	2.12857	D
932	4.15	D
933	0.428571	D
934	2.43571	D
935	2.83571	D
936	6.42857	D
937	4.85714	D
938	2.22143	D
939	3.54286	D
940	2.27143	D
941	0.928571	D
942	1.72143	D
943	10.5786	D
944	3.50714	D
945	8.61429	D
946	2.07143	D
947	0.707143	D
948	1.9	D
949	0.914286	D
950	0.3	D
951	0.921429	D
952	2.01429	D
953	1.91429	D
954	2.70714	D
955	3.47143	D
956	1.42143	D
957	2.84286	D
958	0.971429	D
959	4.22857	D
960	2.84286	D
961	0.971429	D
962	3.52857	D
963	3.39286	D
964	3.65714	D
965	1.47857	D
966	2.03571	D
967	2.17143	D
968	0.821429	D
969	1.03571	D
970	8.85	D
971	3.3	D
972	5.44286	D
973	1.93571	D
974	2.8	D
975	3.1	D
976	1.43571	D
977	3.17143	D
978	1.72857	D
979	1.85	D
980	1.05	D
981	8.25	D
982	4.60714	D
983	6.84286	D
984	1.81429	D
985	3.32143	D
986	2.07143	D
987	1.09286	D
988	1.55	D
989	0.721429	D
990	2.34286	D
991	2.09286	D
992	4.29286	D
993	0.321429	D
994	1.56429	D
995	2.57143	D
996	3.08571	D
997	5.87857	D
998	4.17143	D
999	2.72143	D
1000	1.05714	D
1001	1.27857	D
1002	3.3	D
1003	0.492857	D
1004	1.19286	D
1005	1.45714	D
1006	2.51429	D
1007	2.07857	D
1008	3.73571	D
1009	1.92143	D
1010	2.1	D
1011	2.95	D
1012	2.35714	D
1013	2.08571	D
1014	3.26429	D
1015	1.39286	D
1016	2.97143	D
1017	1.45	D
1018	0.821429	D
1019	2.32857	D
1020	2.01429	D
1021	2.57857	D
1022	1.89286	D
1023	1.54286	D
1024	1.17857	D
1025	2.57857	D
1026	2.35	D
1027	5.67143	D
1028	0.292857	D
1029	2.08571	D
1030	2.89286	D
1031	1.20714	D
1032	2.32143	D
1033	5.08571	D
1034	1.63571	D
1035	1.85	D
1036	2.30714	D
1037	2.42857	D
1038	1.14286	D
1039	0.485714	D
1040	1.92143	D
1041	1.07857	D
1042	4.05	D
1043	2.55714	D
1044	1.97143	D
1045	1.86429	D
1046	3.21429	D
1047	2.43571	D
1048	1.17857	D
1049	3.2	D
1050	2.97143	D
1051	1.67857	D
1052	0.971429	D
1053	2.67857	D
1054	1.57143	D
1055	3.63571	D
1056	0.678571	D
1057	0.778571	D
1058	5.41429	D
1059	2.58571	D
1060	5.18571	D
1061	0.378571	D
1062	3.95	D
1063	0.907143	D
1064	0.6	D
1065	0.228571	D
1066	2.81429	D
1067	3.78571	D
1068	5.17857	D
1069	3.87857	D
1070	0.742857	D
1071	3.56429	D
1072	3.87857	D
1073	0.664286	D
1074	3.72143	D
1075	2.4	D
1076	1.22857	D
1077	1.8	D
1078	0.692857	D
1079	3.63571	D
1080	0.785714	D
1081	4.37143	D
1082	1.44286	D
1083	1.02857	D
1084	0.878571	D
1085	0.885714	D
1086	3.84286	D
1087	6.20714	D
1088	1.89286	D
1089	1.76429	D
1090	0.821429	D
1091	1.43571	D
1092	2.46429	D
1093	1.72143	D
1094	1.75714	D
1095	2.37143	D
1096	1.01429	D
1097	0.114286	D
1098	0.921429	D
1099	1.9	D
1100	1.25714	D
1101	2.60714	D
1102	3.34286	D
1103	1.94286	D
1104	8.2	D
1105	6.86429	D
1106	0.985714	D
1107	0.342857	D
1108	2.11429	D
1109	0.985714	D
1110	1.78571	D
1111	1.78571	D
1112	1.78571	D
1113	2.05	D
1114	1.15	D
1115	1.65	D
1116	1.72857	D
1117	1.30714	D
1118	2.85714	D
1119	1.65714	D
1120	1.15	D
1121	7.81429	D
1122	2.70714	D
1123	4.90714	D
1124	1.42857	D
1125	1.97857	D
1126	3.27143	D
1127	2.56429	D
1128	2.28571	D
1129	2.61429	D
1130	8.19286	D
1131	1.1	D
1132	3.20714	D
1133	2.62857	D
1134	1.7	D
1135	1.67857	D
1136	2.18571	D
1137	4.8	D
1138	5.81429	D
1139	2.64286	D
1140	0.357143	D
1141	6.22857	D
1142	2.95714	D
1143	0.435714	D
1144	2.20714	D
1145	2.12143	D
1146	2.53571	D
1147	0.321429	D
1148	1.86429	D
1149	3.24286	D
1150	1.84286	D
1151	0.9	D
1152	2.69286	D
1153	2.9	D
1154	2.18571	D
1155	2.32857	D
1156	0.521429	D
1157	2.41429	D
1158	2.12143	D
1159	1.78571	D
1160	1.91429	D
1161	5.57143	D
1162	2.37143	D
1163	2.4	D
1164	9.2	D
1165	6.07857	D
1166	2.15	D
1167	7.17143	D
1168	1.97143	D
1169	2.72857	D
1170	5.16429	D
1171	5.24286	D
1172	1.91429	D
1173	1.55	D
1174	1.54286	D
1175	0.357143	D
1176	0.414286	D
1177	0.828571	D
1178	0.371429	D
1179	1.2	D
1180	1.14286	D
1181	0.942857	D
1182	1.26429	D
1183	1.11429	D
1184	1.65714	D
1185	1.16429	D
1186	1.22143	D
1187	1.50714	D
1188	2.49286	D
1189	0.885714	D
1190	0.821429	D
1191	2.52143	D
1192	1.09286	D
1193	1.06429	D
1194	1.32143	D
1195	0.964286	D
1196	1.12857	D
